process-upload-10MB-50c-5s,upload,10,50,5,11.998,39328649.7,45/50,50/5
process-upload-10MB-50c-50s,upload,10,50,50,11.731,42009536.75,47/50,50/50
process-upload-50MB-1c-1s,upload,50,1,1,2.904,18055245.31,1/1,1/1
process-upload-50MB-1c-5s,upload,50,1,5,2.454,21365442.91,1/1,1/5
process-upload-50MB-1c-50s,upload,50,1,50,2.338,22425310.49,1/1,1/50
process-upload-50MB-5c-1s,upload,50,5,1,10.719,24455668.13,5/5,5/1
process-upload-50MB-5c-5s,upload,50,5,5,7.129,36773943.14,5/5,5/5
process-upload-50MB-5c-50s,upload,50,5,50,7.03,37290029.69,5/5,5/50
process-upload-50MB-50c-1s,upload,50,50,1,121.358,21600926.32,50/50,50/1
process-upload-50MB-50c-5s,upload,50,50,5,86.092,30449447.7,50/50,50/5
process-upload-50MB-50c-50s,upload,50,50,50,83.947,31227267.98,50/50,50/50
process-upload-100MB-1c-1s,upload,100,1,1,8.14,12882214.86,1/1,1/1
process-upload-100MB-1c-5s,upload,100,1,5,5.359,19567140.59,1/1,1/5
process-upload-100MB-1c-50s,upload,100,1,50,5.362,19556462.13,1/1,1/50
process-upload-100MB-5c-1s,upload,100,5,1,25.217,20790775.5,5/5,5/1
process-upload-100MB-5c-5s,upload,100,5,5,15.553,33708754.38,5/5,5/5
process-upload-100MB-5c-50s,upload,100,5,50,15.958,32854528.18,5/5,5/50
process-upload-100MB-50c-1s,upload,100,50,1,418.872,12516665.48,50/50,50/1
process-upload-100MB-50c-5s,upload,100,50,5,388.478,13495950.83,50/50,50/5
process-upload-100MB-50c-50s,upload,100,50,50,421.283,12445026.56,50/50,50/50
process-download-10MB-1c-1s,download,10,1,1,0.141,74556303.33,1/1,1/1
process-download-10MB-1c-5s,download,10,1,5,0.14,74877062.14,1/1,1/5
process-download-10MB-1c-50s,download,10,1,50,0.18,58416146.37,1/1,1/50
process-download-10MB-5c-1s,download,10,5,1,0.468,112111609.55,5/5,5/1
process-download-10MB-5c-5s,download,10,5,5,0.176,298345381.74,5/5,5/5
process-download-10MB-5c-50s,download,10,5,50,0.181,289398094.59,5/5,5/50
process-download-10MB-50c-1s,download,10,50,1,4.285,122341663.41,50/50,50/1
process-download-10MB-50c-5s,download,10,50,5,1.195,438660011.68,50/50,50/5
process-download-10MB-50c-50s,download,10,50,50,1.095,478864372.97,50/50,50/50
process-download-50MB-1c-1s,download,50,1,1,0.851,61612805.45,1/1,1/1
process-download-50MB-1c-5s,download,50,1,5,0.847,61886457.58,1/1,1/5
process-download-50MB-1c-50s,download,50,1,50,0.832,62985421.72,1/1,1/50
process-download-50MB-5c-1s,download,50,5,1,3.609,72632243.8,5/5,5/1
process-download-50MB-5c-5s,download,50,5,5,1.089,240763152.61,5/5,5/5
process-download-50MB-5c-50s,download,50,5,50,1.1,238219499.29,5/5,5/50
process-download-50MB-50c-1s,download,50,50,1,34.75,75436720.67,50/50,50/1
process-download-50MB-50c-5s,download,50,50,5,8.877,295306962.04,50/50,50/5
process-download-50MB-50c-50s,download,50,50,50,7.386,354932840.53,50/50,50/50
process-download-100MB-1c-1s,download,100,1,1,2.391,43857466.85,1/1,1/1
process-download-100MB-1c-5s,download,100,1,5,2.325,45094063.0,1/1,1/5
process-download-100MB-1c-50s,download,100,1,50,2.363,44379552.68,1/1,1/50
process-download-100MB-5c-1s,download,100,5,1,10.699,49003274.26,5/5,5/1
process-download-100MB-5c-5s,download,100,5,5,2.886,181673408.0,5/5,5/5
process-download-100MB-5c-50s,download,100,5,50,2.875,182375471.84,5/5,5/50
process-download-100MB-50c-1s,download,100,50,1,104.075,50376098.97,50/50,50/1
process-download-100MB-50c-5s,download,100,50,5,29.183,179654701.4,50/50,50/5
process-download-100MB-50c-50s,download,100,50,50,20.919,250626446.15,50/50,50/50
